"","ric","date","time","midquote","datetime_GMT","datetime_CET","time_CET"
"167","EUREON2Y=",2015-12-03,"11:46:00",-0.3484,2015-12-03 11:46:00,2015-12-03 12:46:00,"12:46:00"
"168","EUREON2Y=",2015-12-03,"11:47:00",-0.349,2015-12-03 11:47:00,2015-12-03 12:47:00,"12:47:00"
"169","EUREON2Y=",2015-12-03,"11:48:00",-0.348,2015-12-03 11:48:00,2015-12-03 12:48:00,"12:48:00"
"170","EUREON2Y=",2015-12-03,"11:49:00",-0.3485,2015-12-03 11:49:00,2015-12-03 12:49:00,"12:49:00"
"171","EUREON2Y=",2015-12-03,"11:50:00",-0.34895,2015-12-03 11:50:00,2015-12-03 12:50:00,"12:50:00"
"172","EUREON2Y=",2015-12-03,"11:51:00",-0.351,2015-12-03 11:51:00,2015-12-03 12:51:00,"12:51:00"
"173","EUREON2Y=",2015-12-03,"11:52:00",-0.35,2015-12-03 11:52:00,2015-12-03 12:52:00,"12:52:00"
"174","EUREON2Y=",2015-12-03,"11:53:00",-0.35415,2015-12-03 11:53:00,2015-12-03 12:53:00,"12:53:00"
"175","EUREON2Y=",2015-12-03,"11:54:00",-0.3536,2015-12-03 11:54:00,2015-12-03 12:54:00,"12:54:00"
"176","EUREON2Y=",2015-12-03,"11:55:00",-0.354,2015-12-03 11:55:00,2015-12-03 12:55:00,"12:55:00"
"177","EUREON2Y=",2015-12-03,"11:56:00",-0.354,2015-12-03 11:56:00,2015-12-03 12:56:00,"12:56:00"
"178","EUREON2Y=",2015-12-03,"11:57:00",-0.353,2015-12-03 11:57:00,2015-12-03 12:57:00,"12:57:00"
"179","EUREON2Y=",2015-12-03,"11:58:00",-0.35345,2015-12-03 11:58:00,2015-12-03 12:58:00,"12:58:00"
"180","EUREON2Y=",2015-12-03,"11:59:00",-0.36,2015-12-03 11:59:00,2015-12-03 12:59:00,"12:59:00"
"181","EUREON2Y=",2015-12-03,"12:00:00",-0.347,2015-12-03 12:00:00,2015-12-03 13:00:00,"13:00:00"
"182","EUREON2Y=",2015-12-03,"12:01:00",-0.36,2015-12-03 12:01:00,2015-12-03 13:01:00,"13:01:00"
"183","EUREON2Y=",2015-12-03,"12:02:00",-0.359,2015-12-03 12:02:00,2015-12-03 13:02:00,"13:02:00"
"184","EUREON2Y=",2015-12-03,"12:03:00",-0.35,2015-12-03 12:03:00,2015-12-03 13:03:00,"13:03:00"
"185","EUREON2Y=",2015-12-03,"12:04:00",-0.3555,2015-12-03 12:04:00,2015-12-03 13:04:00,"13:04:00"
"186","EUREON2Y=",2015-12-03,"12:05:00",-0.358,2015-12-03 12:05:00,2015-12-03 13:05:00,"13:05:00"
"187","EUREON2Y=",2015-12-03,"12:06:00",-0.355,2015-12-03 12:06:00,2015-12-03 13:06:00,"13:06:00"
"188","EUREON2Y=",2015-12-03,"12:07:00",-0.358,2015-12-03 12:07:00,2015-12-03 13:07:00,"13:07:00"
"189","EUREON2Y=",2015-12-03,"12:08:00",-0.3549,2015-12-03 12:08:00,2015-12-03 13:08:00,"13:08:00"
"190","EUREON2Y=",2015-12-03,"12:09:00",-0.35515,2015-12-03 12:09:00,2015-12-03 13:09:00,"13:09:00"
"191","EUREON2Y=",2015-12-03,"12:10:00",-0.359,2015-12-03 12:10:00,2015-12-03 13:10:00,"13:10:00"
"192","EUREON2Y=",2015-12-03,"12:11:00",-0.355,2015-12-03 12:11:00,2015-12-03 13:11:00,"13:11:00"
"193","EUREON2Y=",2015-12-03,"12:12:00",-0.352,2015-12-03 12:12:00,2015-12-03 13:12:00,"13:12:00"
"194","EUREON2Y=",2015-12-03,"12:13:00",-0.36,2015-12-03 12:13:00,2015-12-03 13:13:00,"13:13:00"
"195","EUREON2Y=",2015-12-03,"12:14:00",-0.359,2015-12-03 12:14:00,2015-12-03 13:14:00,"13:14:00"
"196","EUREON2Y=",2015-12-03,"12:15:00",-0.3568,2015-12-03 12:15:00,2015-12-03 13:15:00,"13:15:00"
"197","EUREON2Y=",2015-12-03,"12:16:00",-0.358,2015-12-03 12:16:00,2015-12-03 13:16:00,"13:16:00"
"198","EUREON2Y=",2015-12-03,"12:17:00",-0.35725,2015-12-03 12:17:00,2015-12-03 13:17:00,"13:17:00"
"199","EUREON2Y=",2015-12-03,"12:18:00",-0.3566,2015-12-03 12:18:00,2015-12-03 13:18:00,"13:18:00"
"200","EUREON2Y=",2015-12-03,"12:19:00",-0.357,2015-12-03 12:19:00,2015-12-03 13:19:00,"13:19:00"
"201","EUREON2Y=",2015-12-03,"12:20:00",-0.36,2015-12-03 12:20:00,2015-12-03 13:20:00,"13:20:00"
"202","EUREON2Y=",2015-12-03,"12:21:00",-0.35735,2015-12-03 12:21:00,2015-12-03 13:21:00,"13:21:00"
"203","EUREON2Y=",2015-12-03,"12:22:00",-0.35665,2015-12-03 12:22:00,2015-12-03 13:22:00,"13:22:00"
"204","EUREON2Y=",2015-12-03,"12:23:00",-0.35625,2015-12-03 12:23:00,2015-12-03 13:23:00,"13:23:00"
"205","EUREON2Y=",2015-12-03,"12:24:00",-0.35615,2015-12-03 12:24:00,2015-12-03 13:24:00,"13:24:00"
"206","EUREON2Y=",2015-12-03,"12:25:00",-0.358,2015-12-03 12:25:00,2015-12-03 13:25:00,"13:25:00"
"207","EUREON2Y=",2015-12-03,"12:26:00",-0.3567,2015-12-03 12:26:00,2015-12-03 13:26:00,"13:26:00"
"208","EUREON2Y=",2015-12-03,"12:27:00",-0.3578,2015-12-03 12:27:00,2015-12-03 13:27:00,"13:27:00"
"209","EUREON2Y=",2015-12-03,"12:28:00",-0.3574,2015-12-03 12:28:00,2015-12-03 13:28:00,"13:28:00"
"210","EUREON2Y=",2015-12-03,"12:29:00",-0.3573,2015-12-03 12:29:00,2015-12-03 13:29:00,"13:29:00"
"211","EUREON2Y=",2015-12-03,"12:30:00",-0.358,2015-12-03 12:30:00,2015-12-03 13:30:00,"13:30:00"
