"","ric","date","time","midquote","datetime_GMT","datetime_CET","time_CET"
"139","EUREON2Y=",2013-07-04,"10:18:00",0.27,2013-07-04 10:18:00,2013-07-04 12:18:00,"12:18:00"
"140","EUREON2Y=",2013-07-04,"10:19:00",0.269,2013-07-04 10:19:00,2013-07-04 12:19:00,"12:19:00"
"141","EUREON2Y=",2013-07-04,"10:20:00",0.268,2013-07-04 10:20:00,2013-07-04 12:20:00,"12:20:00"
"142","EUREON2Y=",2013-07-04,"10:21:00",0.27,2013-07-04 10:21:00,2013-07-04 12:21:00,"12:21:00"
"143","EUREON2Y=",2013-07-04,"10:22:00",0.265,2013-07-04 10:22:00,2013-07-04 12:22:00,"12:22:00"
"144","EUREON2Y=",2013-07-04,"10:23:00",0.2695,2013-07-04 10:23:00,2013-07-04 12:23:00,"12:23:00"
"145","EUREON2Y=",2013-07-04,"10:24:00",0.267,2013-07-04 10:24:00,2013-07-04 12:24:00,"12:24:00"
"146","EUREON2Y=",2013-07-04,"10:25:00",0.266,2013-07-04 10:25:00,2013-07-04 12:25:00,"12:25:00"
"147","EUREON2Y=",2013-07-04,"10:26:00",0.265,2013-07-04 10:26:00,2013-07-04 12:26:00,"12:26:00"
"148","EUREON2Y=",2013-07-04,"10:27:00",0.265,2013-07-04 10:27:00,2013-07-04 12:27:00,"12:27:00"
"149","EUREON2Y=",2013-07-04,"10:28:00",0.265,2013-07-04 10:28:00,2013-07-04 12:28:00,"12:28:00"
"150","EUREON2Y=",2013-07-04,"10:29:00",0.267,2013-07-04 10:29:00,2013-07-04 12:29:00,"12:29:00"
"151","EUREON2Y=",2013-07-04,"10:30:00",0.267,2013-07-04 10:30:00,2013-07-04 12:30:00,"12:30:00"
"152","EUREON2Y=",2013-07-04,"10:31:00",0.265,2013-07-04 10:31:00,2013-07-04 12:31:00,"12:31:00"
"153","EUREON2Y=",2013-07-04,"10:32:00",0.268,2013-07-04 10:32:00,2013-07-04 12:32:00,"12:32:00"
"154","EUREON2Y=",2013-07-04,"10:33:00",0.269,2013-07-04 10:33:00,2013-07-04 12:33:00,"12:33:00"
"155","EUREON2Y=",2013-07-04,"10:34:00",0.269,2013-07-04 10:34:00,2013-07-04 12:34:00,"12:34:00"
"156","EUREON2Y=",2013-07-04,"10:35:00",0.269,2013-07-04 10:35:00,2013-07-04 12:35:00,"12:35:00"
"157","EUREON2Y=",2013-07-04,"10:36:00",0.269,2013-07-04 10:36:00,2013-07-04 12:36:00,"12:36:00"
"158","EUREON2Y=",2013-07-04,"10:37:00",0.269,2013-07-04 10:37:00,2013-07-04 12:37:00,"12:37:00"
"159","EUREON2Y=",2013-07-04,"10:38:00",0.268,2013-07-04 10:38:00,2013-07-04 12:38:00,"12:38:00"
"160","EUREON2Y=",2013-07-04,"10:39:00",0.269,2013-07-04 10:39:00,2013-07-04 12:39:00,"12:39:00"
"161","EUREON2Y=",2013-07-04,"10:40:00",0.2715,2013-07-04 10:40:00,2013-07-04 12:40:00,"12:40:00"
"162","EUREON2Y=",2013-07-04,"10:41:00",0.265,2013-07-04 10:41:00,2013-07-04 12:41:00,"12:41:00"
"163","EUREON2Y=",2013-07-04,"10:42:00",0.273,2013-07-04 10:42:00,2013-07-04 12:42:00,"12:42:00"
"164","EUREON2Y=",2013-07-04,"10:43:00",0.27,2013-07-04 10:43:00,2013-07-04 12:43:00,"12:43:00"
"165","EUREON2Y=",2013-07-04,"10:44:00",0.272,2013-07-04 10:44:00,2013-07-04 12:44:00,"12:44:00"
